relics_id,relics_name,relics_description,relics_properties,relics_source,relics_consumable,relics_portion,relics_value,relics_imageurl,formula,special,notes
19,Thorn of Greed,"Simultaneously cruel and beautiful, it is said that this weapon was forged by a master smith in the DPRT.  It grows stronger in its wielder's pursuit of financial gain.",+550 BP for Rank 1 on Lifetime Song Gold|+BP based on Lifetime Song Gold for Rank 2 and below (Max 400),0,0,0,152754,thornofgreed.png,"Iferror(if(SONG GOLD RANK IS 1ST PLACE,550,rounddown(400*(PLAYER SONG GOLD/2ND PLACE SONG GOLD),0)),0)",,
20,Baguette,"""Oh come on ! It's the best France has to offer!""<br/><br/>Nuh-uh. It isn't because it's the most successful that it is the best. In my case, it is the true and tried classic, but it is not necessarily what I'd take above all.",+BP equal to 100 * (Adj. Stream %)^3,3,1,0,150,baguette.png,"IFERROR(ROUNDDOWN(100*(STREAM PERCENT^3),0),0)",,
21,Khachapuri,"""What a contraption, it's like if someone wanted both an egg muffin and a bretzel.  The eggs look perfectly cooked as well.<br/></br>Oh and did I mention it has feta inside as well ?<br/></br>Wait it's, not feta, it's soulgouni which is a local cheese from Georgia.""<br/><br/>Interesting, but does Georgia exist in this fantasy setting...?",+BP equal to 175 * (Adj. Stream %)^3,3,1,0,1527,khachapuri.png,"IFERROR(ROUNDDOWN(175*(STREAM PERCENT^3),0),0)",,
22,Pain Brioche,"""Man, now its not even bread anymore.""<br/><br/>Well, depends on what your definition is, but this is the best sugary bread there is. Some might even use it for the legendary Saucisson Brioche, which is also an underrated french classic. ",+BP equal to 250 * (Adj. Stream %)^3,3,1,0,7039,painbrioche.png,"IFERROR(ROUNDDOWN(250*(STREAM PERCENT^3),0),0)",,
23,Fougasse,"""What does that even mean?""<br/><br/>Fogatza in ancient Occitan (old French dialect of the South Of France), which then turned into fogatza and then fougasse as time went by, this is a flatbread that you can use as a base for all kinds of pizza-style dishes, which can be as classic as the olive fougasse, or as exotic as raclette fougasse. ",+BP equal to 325 * (Adj. Stream %)^3,3,1,0,9628,fougasse.png,"IFERROR(ROUNDDOWN(325*(STREAM PERCENT^3),0),0)",,
24,Faluche,"""No idea what this is either. Is that some sort of FA-luchis shenanigans?""<br/><br/>The quintessential bread of the North branch of the French Coast Stamina. Neither a round nor flat bread but looks somewhat like a small deflated soccer ball, these deceiving looks hide true greatness. Can be used for breakfast, for lunch, for whatever you'd like, in forms ranging from just sugar inside, to what we call an ""Americain"", which is literally using this as a bun for a cheeseburger, then fill whatever space you have left with fries. Delicious isn't it?",+BP equal to 400 * (Adj. Stream %)^3,3,1,0,14386,faluche.png,"IFERROR(ROUNDDOWN(400*(STREAM PERCENT^3),0),0)",,
25,BURGER,"The ultimate burger, formed from expertly chosen ingredients in perfect harmony with one another.  You can practically taste the aura of delicious burgerness radiating from it.  Truly a divine entree.",+1000 BP|The BP here stands for Burger Points|The Burger Points don't do anything,3,1,0,8,burger.png,0,,
26,Crystal Axe,A stunningly beautiful crystal axe.<br/><br/>Incredibly effective against large opponents.,Lv. 4 EP Bonus,3,0,0,67212,crystalaxe.png,"ROUNDDOWN((EP*0.4),0)",,
27,Diamond Axe,An immaculate diamond axe.<br/><br/>Maximum effectiveness against large opponents.,Lv. 5 EP Bonus,3,0,0,100419,diamondaxe.png,"ROUNDDOWN((EP*0.5),0)",,
28,Lance of Longinus,Extremely rare holy lance.<br/><br/>Very effective against marathon beasts.,+3000 MP,3,0,1,70095,lanceoflonginus.png,0,,+3000  MP
29,Ornate Hourglass,Hourglass imbued with time magic.,45 seconds added to break timer,3,1,0,9808,ornatehourglass.png,0,,ADDS 45 SECONDS TO BREAK TIMER
30,Stamina Potion,"Commissioned the Stamina Corps, these potions grow more effective as large enemies are defeated.<br/><br/>Single use.","At end of set, +BP equal to total steps of passed songs divided by 45",3,1,0,61456,staminapotion.png,0,,"AT END OF SET: ROUNDDOWN(SUMIF(SONG IS PASSED,SONG STEPS)/45,0)"
31,Mar'Day,"Wrought to chasten the massive, monstrous denizens of the wilds of the Stamina Nation.  All who have wielded this in the past have become legendary figures in the nation's history.<br/><br/>Gains extra effectivity proportionate to an enemy's size.",+100 BP per minute of song length,3,0,0,168190,marday.png,"ROUNDDOWN(SONG LENGTH*100,0)",,
32,Crystal Dagger,A stunningly beautiful crystal dagger.<br/><br/>Incredibly effective against fast opponents.,Lv. 4 DP Bonus,2,0,0,591074,crystaldagger.png,"ROUNDDOWN((DP*0.4),0)",,
33,Diamond Dagger,An immaculate diamond dagger.<br/><br/>Maximum effectiveness against fast opponents.,Lv. 5 DP Bonus,2,0,0,1083339,diamonddagger.png,"ROUNDDOWN((DP*0.5),0)",,
34,Twisted Bow,Prized bow recovered from the Chambers of Xeric.<br/><br/>Maximum effectiveness against difficult opponents with an arrow equipped.,Lv. 5 RP Bonus with arrow equipped,2,0,0,626596,twistedbow.png,"If(ARROW IS EQUIPPED,rounddown(RP/(max('Lower Songs'!$AE:$AE)/1000)*0.5,0),0)",IS A BOW,ARROW MUST BE EQUIPPED
35,Dragon Arrow,A vicious arrow tipped with a dragon fang.<br/><br/>Strongly effective against fast opponents with a bow equipped.<br/><br/>Single use.,Lv. 3 DP Bonus with bow equipped|+200 BP with bow equipped,2,1,0,280918,dragonarrow.png,"If(BOW IS EQUIPPED,ROUNDDOWN((DP*0.3),0)+200,0)",IS AN ARROW,BOW MUST BE EQUIPPED
36,Severing Foffer,Made with one purpose in mind: piling the corpses of the unjej.  Only the strongest members of Memepeace can wield it effectively.,+650 BP for Rank 1 on Lifetime JP|+BP based on Lifetime JP for Rank 2 and below (Max 475),2,0,0,9965349,severingfoffer.png,"Iferror(if(SONG JP RANK IS 1ST PLACE,650,rounddown(475*(PLAYER SONG JP/2ND PLACE SONG JP),0)),0)",,
37,Antique Sundial,Sundial imbued with time magic.<br/><br/>Single use.,45 seconds added to break timer,2,1,0,240931,antiquesundial.png,0,,ADDS 45 SECONDS TO BREAK TIMER
38,Agility Potion,"Brewed in the Footspeed Empire, this potion grows more effective as fast enemies are defeated.<br/><br/>Single use.","At end of set, +BP equal to (average BPM of passed songs-120)^1.3",2,1,0,5715173,agilitypotion.png,"Iferror(rounddown((AVERAGE BPM OF SONGS PASSED-120)^1.3,0),0)",,
39,Kraken Club,"Immensely sought-after, this club is enchanted with a spell that hastens the wielder's swings, allowing consecutive blows in the time it would normally take to make one.<br/><br/>Single use.",+25 BP|+BP equal to total amount yielded by other relics,2,1,0,8850209,krakenclub.png,"25+if(AND($F5<>42,$F5>0),INDEX($A:$FN,ROW($F5),COLUMN($F5)+29+$F5),0)+if(AND($G5<>42,$G5>0),INDEX($A:$FN,ROW($F5),COLUMN($F5)+29+$G5),0)+if(AND($H5<>42,$H5>0),INDEX($A:$FN,ROW($F5),COLUMN($F5)+29+$H5),0)+if(AND($I5<>42,$I5>0),INDEX($A:$FN,ROW($F5),COLUMN($F5)+29+$I5),0)+if(AND($J5<>42,$J5>0),INDEX($A:$FN,ROW($F5),COLUMN($F5)+29+$J5),0)",,
40,Leather Gloves,Well-worn leather gloves that have seen their fair share of fights.<br/><br/>Somewhat effective against fast opponents.,Lv. 1 DP Bonus for 120 BPM songs,1,0,0,0,leathergloves.png,"if(SONG SPEED TIER=120,ROUNDDOWN(DP*0.1,0),0)",,
41,Leather Gloves +1,Well-worn leather gloves that have seen their fair share of fights.<br/><br/>This weapon has been enhanced to a higher level of quality.<br/><br/>Somewhat effective against fast opponents and somewhat effective against large opponents.,Lv. 1 DP Bonus for 120 BPM songs|Lv. 1 EP Bonus for 120 BPM songs,1,0,0,0,leathergloves+1.png,"if(SONG SPEED TIER=120,ROUNDDOWN(DP*0.1,0)+ROUNDDOWN(EP*0.1,0),0)",,
42,Leather Gloves +2,Well-worn leather gloves that have seen their fair share of fights.<br/><br/>This weapon has been enhanced to the highest level of quality.<br/><br/>Somewhat effective against fast opponents and somewhat effective against large opponents.<br/><br/>Gains extra effectivity proportionate to an enemy's size.,Lv. 1 DP Bonus for 120 BPM songs|Lv. 1 EP Bonus for 120 BPM songs|+25 BP per minute of song length for 120 BPM songs,1,0,0,0,leathergloves+2.png,"if(SONG SPEED TIER=120,ROUNDDOWN(DP*0.1,0)+ROUNDDOWN(EP*0.1,0)+ROUNDDOWN(SONG LENGTH*25,0),0)",,
43,Guard Stick,A vintage and well-cared-for staff. Also happens to be eco-friendly.<br/><br/>Somewhat effective against fast opponents.,Lv. 1 DP Bonus for 130 BPM songs,1,0,0,0,guardstick.png,"if(SONG SPEED TIER=130,ROUNDDOWN(DP*0.1,0),0)",,
44,Guard Stick +1,A vintage and well-cared-for staff. Also happens to be eco-friendly.<br/><br/>This weapon has been enhanced to a higher level of quality.<br/><br/>Somewhat effective against fast opponents and somewhat effective against large opponents.,Lv. 1 DP Bonus for 130 BPM songs|Lv. 1 EP Bonus for 130 BPM songs,1,0,0,0,guardstick+1.png,"if(SONG SPEED TIER=130,ROUNDDOWN(DP*0.1,0)+ROUNDDOWN(EP*0.1,0),0)",,
45,Guard Stick +2,A vintage and well-cared-for staff. Also happens to be eco-friendly.<br/><br/>This weapon has been enhanced to the highest level of quality.<br/><br/>Somewhat effective against fast opponents and somewhat effective against large opponents.<br/><br/>Gains extra effectivity proportionate to an enemy's size.,Lv. 1 DP Bonus for 130 BPM songs|Lv. 1 EP Bonus for 130 BPM songs|+25 BP per minute of song length for 130 BPM songs,1,0,0,0,guardstick+2.png,"if(SONG SPEED TIER=130,ROUNDDOWN(DP*0.1,0)+ROUNDDOWN(EP*0.1,0)+ROUNDDOWN(SONG LENGTH*25,0),0)",,
46,4-Point Shuriken,An oversized throwing star used by ninja from Wutai.<br/><br/>Somewhat effective against fast opponents.,Lv. 1 DP Bonus for 140 BPM songs,1,0,0,0,4pointshuriken.png,"if(SONG SPEED TIER=140,ROUNDDOWN(DP*0.1,0),0)",,
47,4-Point Shuriken +1,An oversized throwing star used by ninja from Wutai.<br/><br/>This weapon has been enhanced to a higher level of quality.<br/><br/>Somewhat effective against fast opponents and somewhat effective against large opponents.,Lv. 1 DP Bonus for 140 BPM songs|Lv. 1 EP Bonus for 140 BPM songs,1,0,0,0,4pointshuriken+1.png,"if(SONG SPEED TIER=140,ROUNDDOWN(DP*0.1,0)+ROUNDDOWN(EP*0.1,0),0)",,
48,4-Point Shuriken +2,An oversized throwing star used by ninja from Wutai.<br/><br/>This weapon has been enhanced to the highest level of quality.<br/><br/>Somewhat effective against fast opponents and somewhat effective against large opponents.<br/><br/>Gains extra effectivity proportionate to an enemy's size.,Lv. 1 DP Bonus for 140 BPM songs|Lv. 1 EP Bonus for 140 BPM songs|+25 BP per minute of song length for 140 BPM songs,1,0,0,0,4pointshuriken+2.png,"if(SONG SPEED TIER=140,ROUNDDOWN(DP*0.1,0)+ROUNDDOWN(EP*0.1,0)+ROUNDDOWN(SONG LENGTH*25,0),0)",,
49,Buster Sword,A large broadsword that has inherited the hopes of those who fight.<br/><br/>Somewhat effective against fast opponents.,Lv. 1 DP Bonus for 150 BPM songs,1,0,0,0,bustersword.png,"if(SONG SPEED TIER=150,ROUNDDOWN(DP*0.1,0),0)",,
50,Buster Sword +1,A large broadsword that has inherited the hopes of those who fight.<br/><br/>This weapon has been enhanced to a higher level of quality.<br/><br/>Somewhat effective against fast opponents and effective against large opponents.,Lv. 1 DP Bonus for 150 BPM songs|Lv. 2 EP Bonus for 150 BPM songs,1,0,0,0,bustersword+1.png,"if(SONG SPEED TIER=150,ROUNDDOWN(DP*0.1,0)+ROUNDDOWN(EP*0.2,0),0)",,
51,Buster Sword +2,A large broadsword that has inherited the hopes of those who fight.<br/><br/>This weapon has been enhanced to the highest level of quality.<br/><br/>Somewhat effective against fast opponents and effective against large opponents.<br/><br/>Gains extra effectivity proportionate to an enemy's size.,Lv. 1 DP Bonus for 150 BPM songs|Lv. 2 EP Bonus for 150 BPM songs|+25 BP per minute of song length for 150 BPM songs,1,0,0,0,bustersword+2.png,"if(SONG SPEED TIER=150,ROUNDDOWN(DP*0.1,0)+ROUNDDOWN(EP*0.2,0)+ROUNDDOWN(SONG LENGTH*25,0),0)",,
52,Phalar Aluve,"The drow inscription on this blade appears to have been recently carved. It translates to: 'Though I have to leave you, I will dance forever in Eilistraee's light.'<br/><br/>Somewhat effective against fast opponents.",Lv. 1 DP Bonus for 160 BPM songs,1,0,0,0,phalaraluve.png,"if(SONG SPEED TIER=160,ROUNDDOWN(DP*0.1,0),0)",,
53,Phalar Aluve +1,"The drow inscription on this blade appears to have been recently carved. It translates to: 'Though I have to leave you, I will dance forever in Eilistraee's light.'<br/><br/>This weapon has been enhanced to a higher level of quality.<br/><br/>Somewhat effective against fast opponents and effective against large opponents.",Lv. 1 DP Bonus for 160 BPM songs|Lv. 2 EP Bonus for 160 BPM songs,1,0,0,0,phalaraluve+1.png,"if(SONG SPEED TIER=160,ROUNDDOWN(DP*0.1,0)+ROUNDDOWN(EP*0.2,0),0)",,
54,Phalar Aluve +2,"The drow inscription on this blade appears to have been recently carved. It translates to: 'Though I have to leave you, I will dance forever in Eilistraee's light.'<br/><br/>This weapon has been enhanced to the highest level of quality.<br/><br/>Somewhat effective against fast opponents and effective against large opponents.<br/><br/>Gains extra effectivity proportionate to an enemy's size.",Lv. 1 DP Bonus for 160 BPM songs|Lv. 2 EP Bonus for 160 BPM songs|+25 BP per minute of song length for 160 BPM songs,1,0,0,0,phalaraluve+2.png,"if(SONG SPEED TIER=160,ROUNDDOWN(DP*0.1,0)+ROUNDDOWN(EP*0.2,0)+ROUNDDOWN(SONG LENGTH*25,0),0)",,
55,Aegis-fang,"Forged by a dwarf king of the north for his adopted barbarian son, this runed warhammer is unwieldy for those lacking in strength or stature.<br/><br/>Somewhat effective against fast opponents.",Lv. 1 DP Bonus for 170 BPM songs,1,0,0,0,aegisfang.png,"if(SONG SPEED TIER=170,ROUNDDOWN(DP*0.1,0),0)",,
56,Aegis-fang +1,"Forged by a dwarf king of the north for his adopted barbarian son, this runed warhammer is unwieldy for those lacking in strength or stature.<br/><br/>This weapon has been enhanced to a higher level of quality.<br/><br/>Somewhat effective against fast opponents and effective against large opponents.",Lv. 1 DP Bonus for 170 BPM songs|Lv. 2 EP Bonus for 170 BPM songs,1,0,0,0,aegisfang+1.png,"if(SONG SPEED TIER=170,ROUNDDOWN(DP*0.1,0)+ROUNDDOWN(EP*0.2,0),0)",,
57,Aegis-fang +2,"Forged by a dwarf king of the north for his adopted barbarian son, this runed warhammer is unwieldy for those lacking in strength or stature.<br/><br/>This weapon has been enhanced to the highest level of quality.<br/><br/>Somewhat effective against fast opponents and effective against large opponents.<br/><br/>Gains extra effectivity proportionate to an enemy's size.",Lv. 1 DP Bonus for 170 BPM songs|Lv. 2 EP Bonus for 170 BPM songs|+25 BP per minute of song length for 170 BPM songs,1,0,0,0,aegisfang+2.png,"if(SONG SPEED TIER=170,ROUNDDOWN(DP*0.1,0)+ROUNDDOWN(EP*0.2,0)+ROUNDDOWN(SONG LENGTH*25,0),0)",,
58,Taulmaril,"A gift to the dwarves of the Mithral Hall, this powerful magic bow eventually was inherited by a famed hero ranger of the north.<br/><br/>Effective against fast opponents with an arrow equipped.",Lv. 2 DP Bonus for 180 BPM songs with an arrow equipped,1,0,0,0,taulmaril.png,"if(SONG SPEED TIER=180,ROUNDDOWN(DP*0.2,0),0)",IS A BOW,ARROW MUST BE EQUIPPED
59,Taulmaril +1,"A gift to the dwarves of the Mithral Hall, this powerful magic bow eventually was inherited by a famed hero ranger of the north.<br/><br/>This weapon has been enhanced to a higher level of quality.<br/><br/>Effective against fast opponents and effective against large opponents with an arrow equipped.",Lv. 2 DP Bonus for 180 BPM songs with an arrow equipped|Lv. 2 EP Bonus for 180 BPM songs with an arrow equipped,1,0,0,0,taulmaril+1.png,"if(SONG SPEED TIER=180,ROUNDDOWN(DP*0.2,0)+ROUNDDOWN(EP*0.2,0),0)",IS A BOW,ARROW MUST BE EQUIPPED
60,Taulmaril +2,"A gift to the dwarves of the Mithral Hall, this powerful magic bow eventually was inherited by a famed hero ranger of the north.<br/><br/>This weapon has been enhanced to the highest level of quality.<br/><br/>Effective against fast opponents and effective against large opponents with an arrow equipped.<br/><br/>Gains extra effectivity proportionate to an enemy's size with an arrow equipped.",Lv. 2 DP Bonus for 180 BPM songs with an arrow equipped|Lv. 2 EP Bonus for 180 BPM songs with an arrow equipped|+25 BP per minute of song length for 180 BPM songs with an arrow equipped,1,0,0,0,taulmaril+2.png,"if(SONG SPEED TIER=180,ROUNDDOWN(DP*0.2,0)+ROUNDDOWN(EP*0.2,0)+ROUNDDOWN(SONG LENGTH*25,0),0)",IS A BOW,ARROW MUST BE EQUIPPED
61,Icingdeath,"Taken from the treasure hoard of the dragon Ingeloakastimizilian, known also by Icingdeath, for which this scimitar takes its name.<br/><br/>Effective against fast opponents.",Lv. 2 DP Bonus for 190 BPM songs,1,0,0,0,icingdeath.png,"if(SONG SPEED TIER=190,ROUNDDOWN(DP*0.2,0),0)",,
62,Icingdeath +1,"Taken from the treasure hoard of the dragon Ingeloakastimizilian, known also by Icingdeath, for which this scimitar takes its name.<br/><br/>This weapon has been enhanced to a higher level of quality.<br/><br/>Effective against fast opponents and effective against large opponents.",Lv. 2 DP Bonus for 190 BPM songs|Lv. 2 EP Bonus for 190 BPM songs,1,0,0,0,icingdeath+1.png,"if(SONG SPEED TIER=190,ROUNDDOWN(DP*0.2,0)+ROUNDDOWN(EP*0.2,0),0)",,
63,Icingdeath +2,"Taken from the treasure hoard of the dragon Ingeloakastimizilian, known also by Icingdeath, for which this scimitar takes its name.<br/><br/>This weapon has been enhanced to the highest level of quality.<br/><br/>Effective against fast opponents and effective against large opponents.<br/><br/>Gains extra effectivity proportionate to an enemy's size.",Lv. 2 DP Bonus for 190 BPM songs|Lv. 2 EP Bonus for 190 BPM songs|+25 BP per minute of song length for 190 BPM songs,1,0,0,0,icingdeath+2.png,"if(SONG SPEED TIER=190,ROUNDDOWN(DP*0.2,0)+ROUNDDOWN(EP*0.2,0)+ROUNDDOWN(SONG LENGTH*25,0),0)",,
64,Slayer's Staff,Staff once wielded by the mage of party that was responsible for defeating the demon king.<br/><br/>Effective against fast opponents.,Lv. 2 DP Bonus for 200 BPM songs,1,0,0,0,slayersstaff.png,"if(SONG SPEED TIER=200,ROUNDDOWN(DP*0.2,0),0)",,
65,Slayer's Staff +1,Staff once wielded by the mage of party that was responsible for defeating the demon king.<br/><br/>This weapon has been enhanced to a higher level of quality.<br/><br/>Effective against fast opponents and strongly effective against large opponents.,Lv. 2 DP Bonus for 200 BPM songs|Lv. 3 EP Bonus for 200 BPM songs,1,0,0,0,slayersstaff+1.png,"if(SONG SPEED TIER=200,ROUNDDOWN(DP*0.2,0)+ROUNDDOWN(EP*0.3,0),0)",,
66,Slayer's Staff +2,Staff once wielded by the mage of party that was responsible for defeating the demon king.<br/><br/>This weapon has been enhanced to the highest level of quality.<br/><br/>Effective against fast opponents and strongly effective against large opponents.<br/><br/>Gains extra effectivity proportionate to an enemy's size.,Lv. 2 DP Bonus for 200 BPM songs|Lv. 3 EP Bonus for 200 BPM songs|+25 BP per minute of song length for 200 BPM songs,1,0,0,0,slayersstaff+2.png,"if(SONG SPEED TIER=200,ROUNDDOWN(DP*0.2,0)+ROUNDDOWN(EP*0.3,0)+ROUNDDOWN(SONG LENGTH*25,0),0)",,
67,Hero's Sword,"Despite only being a replica of the true sword, this was the weapon used by the hero Himmel in his party's subjugation of the demon king.<br/><br/>Effective against fast opponents.",Lv. 2 DP Bonus for 210 BPM songs,1,0,0,0,herossword.png,"if(SONG SPEED TIER=210,ROUNDDOWN(DP*0.2,0),0)",,
68,Hero's Sword +1,"Despite only being a replica of the true sword, this was the weapon used by the hero Himmel in his party's subjugation of the demon king.<br/><br/>This weapon has been enhanced to a higher level of quality.<br/><br/>Effective against fast opponents and strongly effective against large opponents.",Lv. 2 DP Bonus for 210 BPM songs|Lv. 3 EP Bonus for 210 BPM songs,1,0,0,0,herossword+1.png,"if(SONG SPEED TIER=210,ROUNDDOWN(DP*0.2,0)+ROUNDDOWN(EP*0.3,0),0)",,
69,Hero's Sword +2,"Despite only being a replica of the true sword, this was the weapon used by the hero Himmel in his party's subjugation of the demon king.<br/><br/>This weapon has been enhanced to the highest level of quality.<br/><br/>Effective against fast opponents and strongly effective against large opponents.<br/><br/>Gains extra effectivity proportionate to an enemy's size.",Lv. 2 DP Bonus for 210 BPM songs|Lv. 3 EP Bonus for 210 BPM songs|+25 BP per minute of song length for 210 BPM songs,1,0,0,0,herossword+2.png,"if(SONG SPEED TIER=210,ROUNDDOWN(DP*0.2,0)+ROUNDDOWN(EP*0.3,0)+ROUNDDOWN(SONG LENGTH*25,0),0)",,
70,Nemesis Ripper,A scythe that emits black light. Made from a strange ore.<br/><br/>Effective against fast opponents.,Lv. 2 DP Bonus for 220 BPM songs,1,0,0,0,nemesisripper.png,"if(SONG SPEED TIER=220,ROUNDDOWN(DP*0.2,0),0)",,
71,Nemesis Ripper +1,A scythe that emits black light. Made from a strange ore.<br/><br/>This weapon has been enhanced to a higher level of quality.<br/><br/>Effective against fast opponents and strongly effective against large opponents.,Lv. 2 DP Bonus for 220 BPM songs|Lv. 3 EP Bonus for 220 BPM songs,1,0,0,0,nemesisripper+1.png,"if(SONG SPEED TIER=220,ROUNDDOWN(DP*0.2,0)+ROUNDDOWN(EP*0.3,0),0)",,
72,Nemesis Ripper +2,A scythe that emits black light. Made from a strange ore.<br/><br/>This weapon has been enhanced to the highest level of quality.<br/><br/>Effective against fast opponents and strongly effective against large opponents.<br/><br/>Gains extra effectivity proportionate to an enemy's size.,Lv. 2 DP Bonus for 220 BPM songs|Lv. 3 EP Bonus for 220 BPM songs|+25 BP per minute of song length for 220 BPM songs,1,0,0,0,nemesisripper+2.png,"if(SONG SPEED TIER=220,ROUNDDOWN(DP*0.2,0)+ROUNDDOWN(EP*0.3,0)+ROUNDDOWN(SONG LENGTH*25,0),0)",,
73,Adamantine Longsword,"Though heavy, this longsword swings effortlessly in your hand - ready to take down a hundred enemies.<br/><br/>Strongly effective against fast opponents.",Lv. 3 DP Bonus for 230 BPM songs,1,0,0,0,adamantinelongsword.png,"if(SONG SPEED TIER=230,ROUNDDOWN(DP*0.3,0),0)",,
74,Adamantine Longsword +1,"Though heavy, this longsword swings effortlessly in your hand - ready to take down a hundred enemies.<br/><br/>This weapon has been enhanced to a higher level of quality.<br/><br/>Strongly effective against fast opponents and strongly effective against large opponents.",Lv. 3 DP Bonus for 230 BPM songs|Lv. 3 EP Bonus for 230 BPM songs,1,0,0,0,adamantinelongsword+1.png,"if(SONG SPEED TIER=230,ROUNDDOWN(DP*0.3,0)+ROUNDDOWN(EP*0.3,0),0)",,
75,Adamantine Longsword +2,"Though heavy, this longsword swings effortlessly in your hand - ready to take down a hundred enemies.<br/><br/>This weapon has been enhanced to the highest level of quality.<br/><br/>Strongly effective against fast opponents and strongly effective against large opponents.<br/><br/>Gains extra effectivity proportionate to an enemy's size.",Lv. 3 DP Bonus for 230 BPM songs|Lv. 3 EP Bonus for 230 BPM songs|+25 BP per minute of song length for 230 BPM songs,1,0,0,0,adamantinelongsword+2.png,"if(SONG SPEED TIER=230,ROUNDDOWN(DP*0.3,0)+ROUNDDOWN(EP*0.3,0)+ROUNDDOWN(SONG LENGTH*25,0),0)",,
